PartnerID;PartnerFullName;Lastname;FirstName;BirthDate;Gender;PostalCode;City;Address;isCustomer;isSupplier;isShipper;Phone;Email
;Kolozsvári Rella;Kolozsvári;Rella;2003.08.21;;6724;Szeged;Beremend utca 32;1;0;0;+36(30)289-63-95;kolozsvari.rella@yahoo.com
;Miskolczi Makár;Miskolczi;Makár;2003.08.08;;3900;Szerencs;Blaha Lujza utca 9/2;1;0;0;+36(70)624-55-94;miskolczi.makar@gmail.com
;Rózsa Lennon;Rózsa;Lennon;2003.07.18;;8996;Zalacséb;Géza fejedelem utca 24;1;0;0;+36(30)683-12-87;rozsa.lennon@protonmail.com
;Dobi Adelmár;Dobi;Adelmár;2003.06.25;;6758;Röszke;Határ  út  11 4/12;1;0;0;+36(30)388-44-54;dobi.adelmar@gmx.com
;Oláh Berfin;Oláh;Berfin;2003.06.20;;8000;Székesfehérvár;Vasvári Pál utca 13 3/14.;1;0;0;+36(20)809-41-12;olah.berfin@gmail.com
;Vida Borisz;Vida;Borisz;2003.06.10;;9029;Győr Sárás puszta;József krt. 50. 3/12.;1;0;0;+36(30)910-98-12;vida.borisz@gmail.com
;Ravasz Bátor;Ravasz;Bátor;2003.06.07;;1066;Budapest;Kossuth Lajos  utca 28. 8./33.;1;0;0;+36(70)179-59-80;ravasz.bator@zoho.com
;Olajos Joana;Olajos;Joana;2003.05.27;;2750;Nagykőrös;II.Rákóczi Ferenc  út 144/a 1/2;1;0;0;+36(20)889-19-59;olajos.joana@zoho.com
;Kató Zebadiás;Kató;Zebadiás;2003.05.07;;4024;Debrecen;Gárdonyi utca utca 55;1;0;0;+36(20)851-42-30;kato.zebadias@gmail.com
;Csatlós Leopoldina;Csatlós;Leopoldina;2003.04.24;;1114;Budapest;dr. Boros I. utca 2 1/5;1;0;0;+36(20)108-79-41;csatlos.leopoldina@freemail.hu
;Ódor Zsülien;Ódor;Zsülien;2003.03.25;;6000;Kecskemét;Ady Endre  utca  9 4/17;1;0;0;+36(70)700-95-77;odor.zsulien@outlook.com
;Falusi Ivonn;Falusi;Ivonn;2003.03.04;;7041;Vajta;Derkovits Gyula utca 48 fszt/1;1;0;0;+36(70)392-93-21;falusi.ivonn@gmail.com
;Bacsa Livianna;Bacsa;Livianna;2003.01.22;;5666;Medgyesegyháza;Széchenyi István utca 51;1;0;0;+36(30)621-19-28;bacsa.livianna@outlook.com
;Burai Vilibald;Burai;Vilibald;2003.01.19;;2310;Szigetszentmiklós;Hunyadi utca 25 fsz./2;1;0;0;+36(30)260-33-97;burai.vilibald@aim.com
;Berki Allegra;Berki;Allegra;2003.01.06;;3700;Kazincbarcika;Jász  utca 27;1;0;0;+36(70)536-12-54;berki.allegra@aol.com
;Zilahi Arikán;Zilahi;Arikán;2003.01.03;;9011;Győr;Zöldmező utca 8.;1;0;0;+36(20)322-71-20;zilahi.arikan@icloud.com
;Lajkó Damajanti;Lajkó;Damajanti;2002.12.21;;8000;Székesfehérvár;Bem József utca 19 A lcs. 3/10;1;0;0;+36(30)194-55-26;lajko.damajanti@freemail.hu
;Román Tonuzóba;Román;Tonuzóba;2002.12.01;;8175;Balatonfűzfő;Testvérvárosok útja 4 6/1;1;0;0;+36(20)831-54-85;roman.tonuzoba@aim.com
;Jánosi Polett;Jánosi;Polett;2002.11.26;;3950;Sárospatak;Prielle Kornelia  utca 10 1/3;1;0;0;+36(30)422-75-27;janosi.polett@freemail.hu
;Pap Mária;Pap;Mária;2002.11.18;;3422;Bükkábrány;vasút utca 6.;1;0;0;+36(30)800-46-67;pap.maria@gmail.com
;Budai Ruti;Budai;Ruti;2002.11.04;;2040;Budaörs;Szabadkai Szőlő hrsz. 4587;1;0;0;+36(30)785-29-66;budai.ruti@gmail.com
;Almási Franni;Almási;Franni;2002.09.30;;3100;Salgótarján;Agyagfejtő utca 8. 4/17.;1;0;0;+36(30)460-11-28;almasi.franni@outlook.com
;Biró Gerda;Biró;Gerda;2002.09.20;;1082;Budapest;István utca 27;1;0;0;+36(30)962-93-57;biro.gerda@gmail.com
;Gerhardt Szimin;Gerhardt;Szimin;2002.08.21;;5530;Vésztő;Kakukk utca 5;1;0;0;+36(30)653-31-79;gerhardt.szimin@gmail.com
;Somogyvári Ánizs;Somogyvári;Ánizs;2002.08.20;;1211;Budapest;Ködös  utca 24;1;0;0;+36(70)566-92-38;somogyvari.anizs@gmail.com
;Teleki Zsella;Teleki;Zsella;2002.07.09;;4032;Debrecen;Kossuth út 103;1;0;0;+36(70)605-42-89;teleki.zsella@gmail.com
;Benkő Lara;Benkő;Lara;2002.07.03;;4700;Mátészalka;Csárdaréti út 13.;1;0;0;+36(20)728-52-96;benko.lara@gmail.com
;Lévai Diána;Lévai;Diána;2002.06.04;;6320;Solt;Szőlőhegy utca 55/A/2. lakás;1;0;0;+36(30)587-25-94;levai.diana@gmail.com
;Olasz Rozalinda;Olasz;Rozalinda;2002.06.01;;4220;Hajdúböszörmény;Fő út 158;1;0;0;+36(30)628-23-37;olasz.rozalinda@gmail.com
;Monostori Béda;Monostori;Béda;2002.05.19;;7951;Gerde;Pálós utca 1 7/30;1;0;0;+36(30)869-36-74;monostori.beda@freemail.hu
;Lénárt Hippia;Lénárt;Hippia;2002.05.09;;3104;Salgótarján;Sándor utca 65;1;0;0;+36(20)190-11-77;lenart.hippia@gmx.com
;Dankó Johanka;Dankó;Johanka;2002.05.02;;7761;Kozármisleny;Kossuth utca jan.49 3/2. (kcs.: 14);1;0;0;+36(70)926-65-51;danko.johanka@freemail.hu
;Lőrinczi Csaga;Lőrinczi;Csaga;2002.04.17;;6050;Lajosmizse;Alföldi  utca 75;1;0;0;+36(70)239-21-32;lorinczi.csaga@aol.com
;László Ria;László;Ria;2002.03.26;;8556;Pápateszér;Nyár utca 15/a;1;0;0;+36(30)660-59-87;laszlo.ria@protonmail.com
;Elekes Verka;Elekes;Verka;2002.01.02;;5630;Békés;Móra Ferenc utca 10;1;0;0;+36(30)338-50-25;elekes.verka@gmail.com
;Bús Lujzi;Bús;Lujzi;2001.12.21;;6500;Baja;Darányi Ignác utca 109;1;0;0;+36(70)847-41-28;bus.lujzi@protonmail.com
;Kozák Apaj;Kozák;Apaj;2001.12.03;;1111;Budapest;Városkapu krt 11;1;0;0;+36(70)496-59-52;kozak.apaj@icloud.com
;Fógel Lucián;Fógel;Lucián;2001.10.08;;2200;Monor;Aradi utca 13. 1/7.;1;0;0;+36(30)555-17-77;fogel.lucian@gmail.com
;Csányi Evelin;Csányi;Evelin;2001.10.04;;1135;Budapest;Szabadság Tér 84.III.lph fszt./3.;1;0;0;+36(30)241-16-38;csanyi.evelin@gmx.us
;Róka Kelvin;Róka;Kelvin;2001.09.23;;6900;Makó;Fő  utca 85;1;0;0;+36(70)817-86-51;roka.kelvin@yandex.com
;Nádasdi Nika;Nádasdi;Nika;2001.08.19;;7630;Pécs;Liszt Ferenc  utca 15/A 3./11;1;0;0;+36(70)367-83-79;nadasdi.nika@gmail.com
;Büki Édua;Büki;Édua;2001.05.08;;7561;Nagybajom;Huszár Gál utca 51;1;0;0;+36(30)344-28-56;buki.edua@gmx.com
;Sápi Szébra;Sápi;Szébra;2001.04.23;;2200;Monor;Dózsa György út 6 fsz./13;1;0;0;+36(20)635-64-46;sapi.szebra@citromail.hu
;Godó Hermina;Godó;Hermina;2001.04.23;;2600;Vác;Klauzál tér 7 2/3\a;1;0;0;+36(20)925-41-42;godo.hermina@gmail.com
;Nyikos Lorabell;Nyikos;Lorabell;2001.03.29;;2085;Pilisvörösvár;Vén József  utca 50;1;0;0;+36(70)773-51-44;nyikos.lorabell@gmx.us
;Császár Uros;Császár;Uros;2001.03.03;;6500;Baja;Gádor út 84;1;0;0;+36(70)767-39-21;csaszar.uros@gmail.com
;Békési Andon;Békési;Andon;2001.02.14;;1097;Budapest;Táblás utca 39.;1;0;0;+36(30)314-62-72;bekesi.andon@aim.com
;Lang Oberon;Lang;Oberon;2001.01.21;;2858;Császár;Hársfa Sétány 17;1;0;0;+36(30)368-29-66;lang.oberon@freemail.hu
;Gere Dusmáta;Gere;Dusmáta;2001.01.17;;2244;Úri;Patak  utca 3.;1;0;0;+36(30)107-34-77;gere.dusmata@freemail.hu
;Gazsó Marinka;Gazsó;Marinka;2000.12.23;;6762;Sándorfalva;Lőrinc barát  utca 14;1;0;0;+36(20)723-11-68;gazso.marinka@gmail.com
;Pozsár Zahara;Pozsár;Zahara;2000.12.03;;6900;Makó;Nagy  út 128;1;0;0;+36(20)832-56-29;pozsar.zahara@gmail.com
;Beck Zongor;Beck;Zongor;2000.11.24;;1098;Budapest;Podhorszky utca 99 A ép.;1;0;0;+36(20)346-46-20;beck.zongor@protonmail.com
;Halasi Ruti;Halasi;Ruti;2000.11.23;;1162;Budapest;Hatvan utca 53. I/13;1;0;0;+36(20)635-28-30;halasi.ruti@freemail.hu
;Siska Jusztusz;Siska;Jusztusz;2000.11.22;;8441;Márkó;Alkotmány utca 54/B 1/9;1;0;0;+36(30)601-75-91;siska.jusztusz@citromail.hu
;Jenei Ciprián;Jenei;Ciprián;2000.10.10;;7183;Kisvejke;Fő  út 47;1;0;0;+36(20)931-93-62;jenei.ciprian@citromail.hu
;Péli Mélia;Péli;Mélia;2000.10.08;;8660;Tab;Fő utca 58-60;1;0;0;+36(30)761-29-81;peli.melia@gmail.com
;Bakonyi Emánuel;Bakonyi;Emánuel;2000.09.27;;9224;Rajka;Lugas utca 5/a 3;1;0;0;+36(70)888-41-13;bakonyi.emanuel@gmail.com
;Hartmann Zea;Hartmann;Zea;2000.09.07;;2750;Nagykőrös;Árpád  út 76 9/3;1;0;0;+36(70)747-70-10;hartmann.zea@gmail.com
;Kolozsi Patrícia;Kolozsi;Patrícia;2000.08.06;;5000;Szolnok;Újbánya telep 26/5;1;0;0;+36(70)217-21-78;kolozsi.patricia@gmail.com
;Lencsés Anaszta;Lencsés;Anaszta;2000.08.02;;1172;Budapest;Soproni utca 106;1;0;0;+36(30)411-38-52;lencses.anaszta@citromail.hu
;Bárdos Jávorka;Bárdos;Jávorka;2000.07.03;;2337;Délegyháza;Úrihegy tanya 241/A;1;0;0;+36(20)293-94-61;bardos.javorka@gmx.us
;Sótér Leopold;Sótér;Leopold;2000.06.18;;2162;Őrbottyán;Fő út 4;1;0;0;+36(30)234-24-47;soter.leopold@protonmail.com
;Fábián Tömör;Fábián;Tömör;2000.05.29;;6100;Kiskunfélegyháza;Thököly utca 12.;1;0;0;+36(30)533-47-25;fabian.tomor@outlook.com
;Ráduly Edmund;Ráduly;Edmund;2000.05.26;;1105;Budapest;Fő  utca 52;1;0;0;+36(30)544-66-34;raduly.edmund@aim.com
;Bertalan Babita;Bertalan;Babita;2000.05.02;;4287;Vámospércs;Mátyás király utca 24/b;1;0;0;+36(70)967-72-95;bertalan.babita@protonmail.com
;Kocsi Hugó;Kocsi;Hugó;2000.04.24;;7691;Pécs;Rákóczi Ferenc út 276;1;0;0;+36(20)487-93-69;kocsi.hugo@zoho.com
;Tuba Ajsa;Tuba;Ajsa;2000.04.08;;3400;Mezőkövesd;Liszt Ferenc utca 15.;1;0;0;+36(70)678-16-96;tuba.ajsa@outlook.com
;Vastag Rami;Vastag;Rami;2000.03.28;;3971;Tiszakarád;Dr. Szabolcs Zoltán utca 1 2/211;1;0;0;+36(70)256-14-21;vastag.rami@gmail.com
;Vékony Aranyka;Vékony;Aranyka;2000.03.27;;2030;Érd;Kerpely Antal utca 26;1;0;0;+36(20)794-45-47;vekony.aranyka@citromail.hu
;Sándor Blandina;Sándor;Blandina;2000.03.25;;5200;Törökszentmiklós;Erdő  utca 64;1;0;0;+36(20)101-27-96;sandor.blandina@outlook.com
;Balló Anett;Balló;Anett;2000.03.09;;8000;Székesfehérvár;Tölgyes út 38.;1;0;0;+36(20)661-75-61;ballo.anett@gmail.com
;Patkó Verita;Patkó;Verita;2000.03.08;;1135;Budapest;Gábor Áron  utca 16;1;0;0;+36(70)706-70-76;patko.verita@aol.com
;Veisz Bolda;Veisz;Bolda;2000.03.06;;9776;Püspökmolnári;Könyves Kálmán utca 1/D;1;0;0;+36(30)546-10-17;veisz.bolda@gmail.com
;Györki Ludmilla;Györki;Ludmilla;1999.11.09;;8200;Veszprém;Bem József utca 7.;1;0;0;+36(70)550-58-13;gyorki.ludmilla@freemail.hu
;Erős Mandel;Erős;Mandel;1999.11.07;;9028;Győr;Bocskai utca 32;1;0;0;+36(70)187-56-79;eros.mandel@gmail.com
;Halmai Krizia;Halmai;Krizia;1999.10.02;;8100;Várpalota;Fenyőszer utca 36;1;0;0;+36(70)685-19-78;halmai.krizia@gmail.com
;Horváth Dömös;Horváth;Dömös;1999.09.30;;2053;Herceghalom;Széchenyi sgt. 22-24 4/19;1;0;0;+36(70)820-35-12;horvath.domos@gmail.com
;Havasi Manuéla;Havasi;Manuéla;1999.09.26;;2315;Szigethalom;Dózsa út 4;1;0;0;+36(70)272-53-91;havasi.manuela@gmail.com
;Gyuris Bercel;Gyuris;Bercel;1999.07.07;;7700;Mohács;Erőmű tér 15 fsz./1;1;0;0;+36(20)105-93-39;gyuris.bercel@gmx.com
;Bódis Alízia;Bódis;Alízia;1999.07.02;;3000;Hatvan;Kölcsey  utca 3.;1;0;0;+36(20)562-20-46;bodis.alizia@outlook.com
;Dankó Delila;Dankó;Delila;1999.06.27;;8800;Nagykanizsa;Eötvös utca 4/8;1;0;0;+36(20)639-70-25;danko.delila@aim.com
;Tamási Ond;Tamási;Ond;1999.06.15;;2310;Szigetszentmiklós;Széher út 20/b 1/3;1;0;0;+36(30)715-45-36;tamasi.ond@gmail.com
;Sinkó Ankisza;Sinkó;Ankisza;1999.05.10;;1144;Budapest;Diósi út 11;1;0;0;+36(20)947-44-29;sinko.ankisza@gmail.com
;Érsek Megán;Érsek;Megán;1999.04.17;;3200;Gyöngyös;Őrjárat utca 23;1;0;0;+36(20)176-83-47;ersek.megan@gmx.com
;Füzesi Harun;Füzesi;Harun;1999.04.17;;6931;Apátfalva;Nánási  út 5. A fszt./4.;1;0;0;+36(70)450-76-91;fuzesi.harun@freemail.hu
;Szarka Petres;Szarka;Petres;1999.04.10;;2834;Tardos;Tamási Áron utca 6 2/11;1;0;0;+36(70)711-43-40;szarka.petres@gmail.com
;Szatmári Mauríció;Szatmári;Mauríció;1999.03.29;;9232;Darnózseli;Mátyás király  utca 43;1;0;0;+36(30)615-83-17;szatmari.mauricio@freemail.hu
;Tamás Amábel;Tamás;Amábel;1999.03.27;;4731;Tunyogmatolcs;Patak  utca 4.;1;0;0;+36(20)405-33-54;tamas.amabel@gmail.com
;Daróczi Kolen;Daróczi;Kolen;1999.03.11;;2339;Majosháza;Kassa utca 36.;1;0;0;+36(30)195-13-86;daroczi.kolen@gmail.com
;Csenki Sét;Csenki;Sét;1999.03.03;;7813;Szava;Forgách utca 3 fszt./1;1;0;0;+36(20)971-98-54;csenki.set@gmail.com
;Paulovics Aisah;Paulovics;Aisah;1999.02.23;;7623;Pécs;81 számú főút ömv töltőállomás út 81;1;0;0;+36(30)524-39-45;paulovics.aisah@zoho.com
;Jámbor Vazul;Jámbor;Vazul;1999.02.02;;1237;Budapest;Fecske utca 10;1;0;0;+36(70)480-77-70;jambor.vazul@gmx.com
;Liszkai Misel;Liszkai;Misel;1999.01.20;;3100;Salgótarján;Bécsi ut 231.;1;0;0;+36(30)142-47-13;liszkai.misel@zoho.com
;Csőke Alberta;Csőke;Alberta;1999.01.13;;3032;Apc;Sárfű utca 11 11 ép. 11 lcs. 8/24;1;0;0;+36(70)562-85-83;csoke.alberta@zoho.com
;Rimóczi Ivor;Rimóczi;Ivor;1998.12.16;;5100;Jászberény;Buday László utca 18 1/4;1;0;0;+36(70)264-31-71;rimoczi.ivor@citromail.hu
;Bende Emerka;Bende;Emerka;1998.11.03;;4484;Nyíregyháza;Nyirfa sor 1;1;0;0;+36(30)105-70-19;bende.emerka@freemail.hu
;Mile Trudi;Mile;Trudi;1998.10.14;;6090;Kunszentmiklós;Balatoni utca 64;1;0;0;+36(70)235-34-87;mile.trudi@citromail.hu
;Kun Denton;Kun;Denton;1998.09.29;;2639;Bernecebaráti;Budai  út 86.;1;0;0;+36(70)853-92-25;kun.denton@zoho.com
;Ország Sejla;Ország;Sejla;1998.09.24;;1011;Budapest;Dembinszky utca 48;1;0;0;+36(20)894-71-66;orszag.sejla@gmail.com
;Boda Métisz;Boda;Métisz;1998.09.20;;4272;Sáránd;Ipar  utca 65;1;0;0;+36(20)765-43-82;boda.metisz@gmx.us
;Szaniszló Borbás;Szaniszló;Borbás;1998.09.05;;1171;Budapest;Balaton  út 1/A;1;0;0;+36(70)595-10-94;szaniszlo.borbas@gmx.com
;Ökrös Oleg;Ökrös;Oleg;1998.07.17;;3724;Ragály;Böröndös utca 28 3/8;1;0;0;+36(30)792-15-58;okros.oleg@freemail.hu
;Bazsó András;Bazsó;András;1998.07.10;;2840;Oroszlány;Zulejka utca 8 fsz/4;1;0;0;+36(30)826-67-15;bazso.andras@icloud.com
;Somogyvári Hetény;Somogyvári;Hetény;1998.07.05;;2800;Tatabánya;Irinyi János Utca 6 2 ép./7;1;0;0;+36(70)545-42-76;somogyvari.heteny@yahoo.com
;Králik Zsázsa;Králik;Zsázsa;1998.05.23;;3443;Mezőnagymihály;Molnár Viktor utca 50 fsz/2;1;0;0;+36(70)835-35-72;kralik.zsazsa@outlook.com
;Kószó Bogárka;Kószó;Bogárka;1998.04.01;;6070;Izsák;Gödöllői út 228;1;0;0;+36(30)655-66-50;koszo.bogarka@gmx.com
;Eszes Zsóka;Eszes;Zsóka;1998.03.25;;7000;Sárbogárd;Kaszásdülő utca 11 10/92;1;0;0;+36(70)123-83-38;eszes.zsoka@outlook.com
;Ódor Placid;Ódor;Placid;1998.03.19;;3950;Sárospatak;Szőlőkalja  út 16;1;0;0;+36(30)307-18-25;odor.placid@freemail.hu
;Lechner Fabrícia;Lechner;Fabrícia;1998.02.22;;1188;Budapest;Avar  utca 16;1;0;0;+36(30)686-95-50;lechner.fabricia@zoho.com
;Osváth Polixénia;Osváth;Polixénia;1998.02.08;;7020;Dunaföldvár;Kossuth Lajos út 14 A ép.;1;0;0;+36(70)323-43-31;osvath.polixenia@outlook.com
;Ficsor Imbert;Ficsor;Imbert;1998.02.02;;3127;Kazár;Mező utca 72;1;0;0;+36(30)553-82-80;ficsor.imbert@citromail.hu
;Kardos Berec;Kardos;Berec;1998.02.01;;4482;Kótaj;Kodály Zoltán utca 29 4/27;1;0;0;+36(30)477-28-60;kardos.berec@yahoo.com
;Simon Szinta;Simon;Szinta;1998.01.08;;2092;Budakeszi;Fő út 134;1;0;0;+36(70)931-30-97;simon.szinta@gmail.com
;Gyetvai Pippa;Gyetvai;Pippa;1997.10.14;;2011;Budakalász;Irinyi  utca 13 fszt./4;1;0;0;+36(70)708-66-95;gyetvai.pippa@gmail.com
;Rostás Szávitri;Rostás;Szávitri;1997.09.20;;2230;Gyömrő;Németh László  utca 7;1;0;0;+36(70)588-87-71;rostas.szavitri@gmail.com
;Burai Zsanina;Burai;Zsanina;1997.07.20;;6400;Kiskunhalas;Nemes utca 48;1;0;0;+36(70)293-37-73;burai.zsanina@gmail.com
;Hajós Petróniusz;Hajós;Petróniusz;1997.07.15;;1138;Budapest;Losonczi utca 117;1;0;0;+36(20)396-11-63;hajos.petroniusz@citromail.hu
;Sinka Mabella;Sinka;Mabella;1997.07.15;;1152;Budapest;Fo  utca 33;1;0;0;+36(20)687-26-41;sinka.mabella@icloud.com
;Nagypál Péter;Nagypál;Péter;1997.07.04;;6000;Kecskemét;Bem József utca 9.;1;0;0;+36(70)610-36-82;nagypal.peter@freemail.hu
;Hódos Niva;Hódos;Niva;1997.07.01;;2458;Kulcs;Pesti út 146-156 B lcs. 1/6;1;0;0;+36(30)639-45-33;hodos.niva@gmail.com
;Garamvölgyi Levente;Garamvölgyi;Levente;1997.06.06;;8000;Székesfehérvár;Csokonai  utca 38;1;0;0;+36(20)877-32-26;garamvolgyi.levente@gmail.com
;Vadászi Csák;Vadászi;Csák;1997.05.28;;2600;Vác;Bársonyvirág utca 1;1;0;0;+36(70)396-17-77;vadaszi.csak@aim.com
;Vécsei Kozma;Vécsei;Kozma;1997.05.17;;1146;Budapest;Széchenyi István  út 35;1;0;0;+36(20)103-16-76;vecsei.kozma@freemail.hu
;Gerhardt Rúfusz;Gerhardt;Rúfusz;1997.05.11;;2766;Tápiószele;Zomboribokor 1.;1;0;0;+36(70)259-48-64;gerhardt.rufusz@zoho.com
;Guba Zsázsa;Guba;Zsázsa;1997.04.23;;1084;Budapest;Kölcsey Ferenc  utca 29;1;0;0;+36(70)152-13-24;guba.zsazsa@freemail.hu
;Lőrinczi Rókus;Lőrinczi;Rókus;1997.04.14;;3400;Mezőkövesd;Lovassy László  utca 6 fszt.;1;0;0;+36(70)214-57-28;lorinczi.rokus@freemail.hu
;Suhajda Zádor;Suhajda;Zádor;1997.03.22;;6500;Baja;Szadadságharcos út 26;1;0;0;+36(30)221-65-51;suhajda.zador@gmail.com
;Hevesi Szolanzs;Hevesi;Szolanzs;1997.03.21;;2740;Abony;Nagyfuvaros  utca 3/b;1;0;0;+36(70)235-86-47;hevesi.szolanzs@gmail.com
;Ráduly Mariam;Ráduly;Mariam;1997.02.26;;7951;Szabadszentkirály;Úrihegy tanya 247/A;1;0;0;+36(70)819-91-58;raduly.mariam@gmail.com
;Biró Szaszkia;Biró;Szaszkia;1997.02.26;;3394;Egerszalók;Erdősor utca 3;1;0;0;+36(70)642-98-31;biro.szaszkia@gmail.com
;Szegi Teodor;Szegi;Teodor;1997.02.22;;1039;Budapest;Karinthy Frigyes  út 4-6 4/3/A;1;0;0;+36(30)454-57-69;szegi.teodor@citromail.hu
;Sós Blazsena;Sós;Blazsena;1997.02.12;;1085;Budapest;Nemzetőr utca 33;1;0;0;+36(30)494-55-14;sos.blazsena@freemail.hu
;Csató Antea;Csató;Antea;1997.02.06;;2700;Cegléd;Kikelet  utca 99;1;0;0;+36(30)673-42-44;csato.antea@gmx.com
;Palkó Terka;Palkó;Terka;1997.01.09;;8161;Ősi;Muskátli utca 9;1;0;0;+36(70)586-59-11;palko.terka@citromail.hu
;Gruber Herold;Gruber;Herold;1997.01.05;;9327;Vág;Fürst Sándor utca 3.;1;0;0;+36(70)307-84-37;gruber.herold@gmail.com
;Hideg Sudár;Hideg;Sudár;1996.12.20;;2377;Örkény;Felsősor utca 95;1;0;0;+36(30)141-76-78;hideg.sudar@gmail.com
;Éles Kassziopeia;Éles;Kassziopeia;1996.11.27;;7355;Nagymányok;Lonovics sgt 9;1;0;0;+36(70)502-62-44;eles.kassziopeia@yahoo.com
;Balogh Szantina;Balogh;Szantina;1996.11.19;;1039;Budapest;Híd utca 12.okt;1;0;0;+36(20)280-87-20;balogh.szantina@gmail.com
;Földesi Emina;Földesi;Emina;1996.11.07;;3980;Sátoraljaújhely;Nagy Sándor utca 59/a;1;0;0;+36(30)850-36-89;foldesi.emina@outlook.com
;Fazekas Ernesztin;Fazekas;Ernesztin;1996.10.04;;6000;Kecskemét;Miklós Gyula utca 1/1;1;0;0;+36(70)224-54-39;fazekas.ernesztin@gmail.com
;Szombati Bodor;Szombati;Bodor;1996.10.01;;4523;Pátroha;Szabadság u. 105.;1;0;0;+36(70)703-97-36;szombati.bodor@outlook.com
;Murányi Nodin;Murányi;Nodin;1996.09.28;;9021;Győr;Esze Tamás út 15.;1;0;0;+36(30)707-70-20;muranyi.nodin@gmail.com
;Babai Kajetán;Babai;Kajetán;1996.08.26;;1031;Budapest;Huba vezér utca 11;1;0;0;+36(20)295-83-47;babai.kajetan@freemail.hu
;Tóbiás Romárió;Tóbiás;Romárió;1996.08.13;;9200;Mosonmagyaróvár;Irinyi János  utca 7 4/10;1;0;0;+36(20)347-16-65;tobias.romario@gmail.com
;Bencze Fehére;Bencze;Fehére;1996.07.26;;1117;BUDAPEST;Kazinczy utca 2. 4./2.;1;0;0;+36(70)855-68-58;bencze.fehere@gmail.com
;Fazekas Alap;Fazekas;Alap;1996.07.09;;8960;Lenti;Kazinczy lakótelep 22/B 4/11;1;0;0;+36(20)562-43-68;fazekas.alap@icloud.com
;Nagypál Ziara;Nagypál;Ziara;1996.06.20;;4028;Debrecen;garam utca 9 2/2;1;0;0;+36(30)742-95-12;nagypal.ziara@gmx.com
;Solymosi Beriszló;Solymosi;Beriszló;1996.03.24;;2760;Nagykáta;Vida János  utca 14;1;0;0;+36(20)588-46-90;solymosi.beriszlo@yandex.com
;Jenei Arianna;Jenei;Arianna;1996.03.19;;7912;Nagypeterd;Eötvös L utca 15;1;0;0;+36(70)503-47-40;jenei.arianna@gmail.com
;Hosszú Mánuel;Hosszú;Mánuel;1996.03.01;;2151;Fót;Gesztes  út 29;1;0;0;+36(20)351-23-80;hosszu.manuel@gmx.us
;Pallagi Arianna;Pallagi;Arianna;1996.01.07;;3525;Miskolc;Nyár utca 30 6/35;1;0;0;+36(20)693-63-88;pallagi.arianna@gmx.us
;Korom Enese;Korom;Enese;1996.01.05;;4220;Hajdúböszörmény;József nádor tér 2-4;1;0;0;+36(20)628-79-16;korom.enese@gmail.com
;Csáki Levente;Csáki;Levente;1995.12.07;;2400;Dunaújváros;Liget utca 6/3;1;0;0;+36(30)174-15-56;csaki.levente@protonmail.com
;Hollósi Bertalan;Hollósi;Bertalan;1995.12.06;;8600;Siófok;Börzsöny utca 2/c 1/6;1;0;0;+36(70)888-32-89;hollosi.bertalan@zoho.com
;Tyukodi Szavéta;Tyukodi;Szavéta;1995.11.21;;3821;Büttös;Toboz utca 42/a;1;0;0;+36(30)492-85-76;tyukodi.szaveta@citromail.hu
